,value
2018-11-21 12:15:00,76
2018-11-21 12:16:00,73
2018-11-21 12:17:00,74
2018-11-21 12:18:00,69
2018-11-21 12:19:00,70
2018-11-21 12:20:00,76
2018-11-21 12:21:00,83
2018-11-21 12:22:00,84
2018-11-21 12:23:00,81
2018-11-21 12:24:00,80
2018-11-21 12:25:00,82
2018-11-21 12:26:00,85
2018-11-21 12:27:00,82
2018-11-21 12:28:00,78
2018-11-21 12:29:00,78
2018-11-21 12:30:00,78
2018-11-21 12:31:00,78
2018-11-21 12:32:00,78
2018-11-21 12:33:00,76
2018-11-21 12:34:00,76
2018-11-21 12:35:00,74
2018-11-21 12:36:00,71
2018-11-21 12:37:00,69
2018-11-21 12:38:00,80
2018-11-21 12:39:00,90
2018-11-21 12:40:00,98
2018-11-21 12:41:00,108
2018-11-21 12:42:00,114
2018-11-21 12:43:00,125
2018-11-21 12:44:00,127
2018-11-21 12:45:00,119
2018-11-21 12:46:00,116
2018-11-21 12:47:00,124
2018-11-21 12:48:00,119
2018-11-21 12:49:00,112
2018-11-21 12:50:00,112
2018-11-21 12:51:00,114
2018-11-21 12:52:00,118
2018-11-21 12:53:00,116
2018-11-21 12:54:00,91
2018-11-21 12:55:00,66
2018-11-21 12:56:00,66
2018-11-21 12:57:00,71
2018-11-21 12:58:00,74
2018-11-21 12:59:00,73
2018-11-21 13:00:00,74
2018-11-21 13:01:00,77
2018-11-21 13:02:00,78
2018-11-21 13:03:00,75
2018-11-21 13:04:00,73
2018-11-21 13:05:00,74
2018-11-21 13:06:00,74
2018-11-21 13:07:00,74
2018-11-21 13:08:00,78
2018-11-21 13:09:00,79
2018-11-21 13:10:00,78
2018-11-21 13:11:00,76
2018-11-21 13:12:00,79
2018-11-21 13:13:00,78
2018-11-21 13:14:00,76
2018-11-21 13:15:00,75
2018-11-21 13:16:00,77
2018-11-21 13:17:00,76
2018-11-21 13:18:00,75
2018-11-21 13:19:00,75
2018-11-21 13:20:00,79
2018-11-21 13:21:00,84
2018-11-21 13:22:00,79
2018-11-21 13:23:00,72
2018-11-21 13:24:00,82
2018-11-21 13:25:00,95
2018-11-21 13:26:00,91
2018-11-21 13:27:00,71
2018-11-21 13:28:00,69
2018-11-21 13:29:00,72
2018-11-21 13:30:00,74
2018-11-21 13:31:00,74
2018-11-21 13:32:00,77
2018-11-21 13:33:00,79
2018-11-21 13:34:00,80
2018-11-21 13:35:00,81
2018-11-21 13:36:00,79
2018-11-21 13:37:00,79
2018-11-21 13:38:00,79
2018-11-21 13:39:00,79
2018-11-21 13:40:00,78
2018-11-21 13:41:00,78
2018-11-21 13:42:00,80
2018-11-21 13:43:00,81
2018-11-21 13:44:00,91
2018-11-21 13:45:00,96
2018-11-21 13:46:00,93
2018-11-21 13:47:00,88
2018-11-21 13:48:00,96
2018-11-21 13:49:00,104
2018-11-21 13:50:00,101
2018-11-21 13:51:00,106
2018-11-21 13:52:00,97
2018-11-21 13:53:00,92
2018-11-21 13:54:00,101
2018-11-21 13:55:00,107
2018-11-21 13:56:00,110
2018-11-21 13:57:00,112
2018-11-21 13:58:00,111
2018-11-21 13:59:00,111
2018-11-21 14:00:00,116
2018-11-21 14:01:00,116
2018-11-21 14:02:00,115
2018-11-21 14:03:00,113
2018-11-21 14:04:00,100
2018-11-21 14:05:00,100
2018-11-21 14:06:00,107
2018-11-21 14:07:00,92
2018-11-21 14:08:00,78
2018-11-21 14:09:00,79
2018-11-21 14:10:00,81
2018-11-21 14:11:00,83
2018-11-21 14:12:00,74
2018-11-21 14:13:00,71
2018-11-21 14:14:00,77
2018-11-21 14:15:00,73
2018-11-21 14:16:00,80
2018-11-21 14:17:00,82
2018-11-21 14:18:00,83
2018-11-21 14:19:00,84
2018-11-21 14:20:00,80
2018-11-21 14:21:00,80
2018-11-21 14:22:00,78
2018-11-21 14:23:00,74
2018-11-21 14:24:00,73
2018-11-21 14:25:00,79
2018-11-21 14:26:00,79
2018-11-21 14:27:00,80
2018-11-21 14:28:00,79
2018-11-21 14:29:00,79
2018-11-21 14:30:00,77
2018-11-21 14:31:00,79
2018-11-21 14:32:00,76
2018-11-21 14:33:00,83
2018-11-21 14:34:00,80
2018-11-21 14:35:00,75
2018-11-21 14:36:00,79
2018-11-21 14:37:00,80
2018-11-21 14:38:00,81
2018-11-21 14:39:00,80
2018-11-21 14:40:00,78
2018-11-21 14:41:00,80
2018-11-21 14:42:00,80
2018-11-21 14:43:00,90
2018-11-21 14:44:00,95
2018-11-21 14:45:00,86
2018-11-21 14:46:00,81
2018-11-21 14:47:00,82
2018-11-21 14:48:00,79
2018-11-21 14:49:00,81
2018-11-21 14:50:00,81
2018-11-21 14:51:00,80
2018-11-21 14:52:00,80
2018-11-21 14:53:00,71
2018-11-21 14:54:00,79
2018-11-21 14:55:00,79
2018-11-21 14:56:00,83
2018-11-21 14:57:00,84
2018-11-21 14:58:00,83
2018-11-21 14:59:00,83
2018-11-21 15:00:00,83
2018-11-21 15:01:00,84
2018-11-21 15:02:00,84
2018-11-21 15:03:00,80
2018-11-21 15:04:00,79
2018-11-21 15:05:00,79
2018-11-21 15:06:00,74
2018-11-21 15:07:00,76
2018-11-21 15:08:00,76
2018-11-21 15:09:00,73
2018-11-21 15:10:00,73
2018-11-21 15:11:00,75
2018-11-21 15:12:00,77
2018-11-21 15:13:00,74
2018-11-21 15:14:00,78
2018-11-21 15:15:00,79
2018-11-21 15:16:00,76
2018-11-21 15:17:00,68
2018-11-21 15:18:00,70
2018-11-21 15:19:00,77
2018-11-21 15:20:00,84
2018-11-21 15:21:00,78
2018-11-21 15:22:00,75
2018-11-21 15:23:00,72
2018-11-21 15:24:00,73
2018-11-21 15:25:00,73
2018-11-21 15:26:00,73
2018-11-21 15:27:00,76
2018-11-21 15:28:00,74
2018-11-21 15:29:00,72
2018-11-21 15:30:00,72
2018-11-21 15:31:00,75
2018-11-21 15:32:00,74
2018-11-21 15:33:00,70
2018-11-21 15:34:00,71
2018-11-21 15:35:00,75
2018-11-21 15:36:00,77
2018-11-21 15:37:00,75
2018-11-21 15:38:00,74
2018-11-21 15:39:00,74
2018-11-21 15:40:00,72
2018-11-21 15:41:00,75
2018-11-21 15:42:00,77
2018-11-21 15:43:00,73
2018-11-21 15:44:00,74
2018-11-21 15:45:00,71
2018-11-21 15:46:00,68
2018-11-21 15:47:00,69
2018-11-21 15:48:00,68
2018-11-21 15:49:00,70
2018-11-21 15:50:00,70
2018-11-21 15:51:00,69
2018-11-21 15:52:00,72
2018-11-21 15:53:00,74
2018-11-21 15:54:00,73
2018-11-21 15:55:00,71
2018-11-21 15:56:00,71
2018-11-21 15:57:00,73
2018-11-21 15:58:00,75
2018-11-21 15:59:00,83
2018-11-21 16:00:00,93
2018-11-21 16:01:00,92
2018-11-21 16:02:00,102
2018-11-21 16:03:00,106
2018-11-21 16:04:00,118
2018-11-21 16:05:00,116
2018-11-21 16:06:00,117
2018-11-21 16:07:00,93
2018-11-21 16:08:00,77
2018-11-21 16:09:00,72
2018-11-21 16:10:00,75
2018-11-21 16:11:00,80
2018-11-21 16:12:00,84
2018-11-21 16:13:00,79
2018-11-21 16:14:00,76
2018-11-21 16:15:00,75
2018-11-21 16:16:00,73
2018-11-21 16:17:00,73
2018-11-21 16:18:00,73
2018-11-21 16:19:00,71
2018-11-21 16:20:00,63
2018-11-21 16:21:00,68
2018-11-21 16:22:00,72
2018-11-21 16:23:00,74
2018-11-21 16:24:00,78
2018-11-21 16:25:00,80
2018-11-21 16:26:00,80
2018-11-21 16:27:00,76
2018-11-21 16:28:00,73
2018-11-21 16:29:00,70
2018-11-21 16:30:00,70
2018-11-21 16:31:00,63
2018-11-21 16:32:00,72
2018-11-21 16:33:00,73
2018-11-21 16:34:00,74
2018-11-21 16:35:00,73
2018-11-21 16:36:00,74
2018-11-21 16:37:00,73
2018-11-21 16:38:00,72
2018-11-21 16:39:00,73
2018-11-21 16:40:00,72
2018-11-21 16:41:00,72
2018-11-21 16:42:00,73
2018-11-21 16:43:00,75
2018-11-21 16:44:00,75
2018-11-21 16:45:00,73
2018-11-21 16:46:00,62
2018-11-21 16:47:00,66
2018-11-21 16:48:00,71
2018-11-21 16:49:00,68
2018-11-21 16:50:00,80
2018-11-21 16:51:00,80
2018-11-21 16:52:00,78
2018-11-21 16:53:00,78
2018-11-21 16:54:00,73
2018-11-21 16:55:00,73
2018-11-21 16:56:00,74
2018-11-21 16:57:00,76
2018-11-21 16:58:00,75
2018-11-21 16:59:00,76
2018-11-21 17:00:00,76
2018-11-21 17:01:00,73
2018-11-21 17:02:00,79
2018-11-21 17:03:00,76
2018-11-21 17:04:00,79
2018-11-21 17:05:00,85
2018-11-21 17:06:00,88
2018-11-21 17:07:00,78
2018-11-21 17:08:00,76
2018-11-21 17:09:00,71
2018-11-21 17:10:00,76
2018-11-21 17:11:00,78
2018-11-21 17:12:00,79
2018-11-21 17:13:00,79
2018-11-21 17:14:00,77
2018-11-21 17:15:00,79
2018-11-21 17:16:00,80
2018-11-21 17:17:00,78
2018-11-21 17:18:00,77
2018-11-21 17:19:00,78
2018-11-21 17:20:00,73
2018-11-21 17:21:00,71
2018-11-21 17:22:00,69
2018-11-21 17:23:00,70
2018-11-21 17:24:00,73
2018-11-21 17:25:00,69
2018-11-21 17:26:00,70
2018-11-21 17:27:00,77
2018-11-21 17:28:00,78
2018-11-21 17:29:00,73
2018-11-21 17:30:00,76
2018-11-21 17:31:00,80
2018-11-21 17:32:00,78
2018-11-21 17:33:00,79
2018-11-21 17:34:00,83
2018-11-21 17:35:00,84
2018-11-21 17:36:00,91
2018-11-21 17:37:00,101
2018-11-21 17:38:00,103
2018-11-21 17:39:00,103
2018-11-21 17:40:00,104
2018-11-21 17:41:00,97
2018-11-21 17:42:00,87
2018-11-21 17:43:00,81
2018-11-21 17:44:00,79
2018-11-21 17:45:00,89
2018-11-21 17:46:00,100
2018-11-21 17:47:00,107
2018-11-21 17:48:00,115
2018-11-21 17:49:00,116
2018-11-21 17:50:00,115
2018-11-21 17:51:00,114
2018-11-21 17:52:00,115
2018-11-21 17:53:00,112
2018-11-21 17:54:00,115
2018-11-21 17:55:00,125
2018-11-21 17:56:00,124
2018-11-21 17:57:00,120
2018-11-21 17:58:00,111
2018-11-21 17:59:00,107
2018-11-21 18:00:00,111
2018-11-21 18:01:00,112
2018-11-21 18:02:00,111
